,,,,,No. of,,,,
,,,,Predominant,cases,Type of,,,
State,Month,Class,Etiologic agent,illness,(n = 432),system*,Deficiency†,Source,Setting
Arizona,Jul,I,Norovirus,Gastroenteritis,71,Com,5,Well,Golf Course
Arizona,Oct,I,Naegleria fowleri,Meningoencephalitis,2,Com,2,Well,Community
Connecticut,Jun,I,Norovirus,Gastroenteritis,142,Ncom,2,Well,Camp
Florida,Sep,III,AGI§,"Gastroenteritis, rash",3,Ind,2,Well,Household
Florida,Sep,III,AGI,Gastroenteritis,5,Ind,2,Well,Household
Kentucky,Sep,III,E. coli O157:H7,Gastroenteritis,2,Ind,2,Well,Household
New Hampshire,Jul,III,Norovirus,Gastroenteritis,201,Ncom,2,Well,Camp
New York,Apr,III,Giardia intestinalis,Gastroenteritis,6,Com,4,Well/spring,Trailer park
