,,,,No. of cases,,
State,Month,Class*,Etiologic agent,"(n = 1,137)",Source,Setting
,,,,,,
Florida,Jul,I,AGI†,7,Lake,Public beach
Florida,Oct,III,AGI,3,Pool,Apartment complex
Georgia,Jul,III,Cryptosporidium species,3,Wading pool,Child care center
Maine,Jul,IV,Escherichia coli O157:H7,9,Wading pool,Private home
Maine,Nov,III,AGI,33,Puddle,School
Massachusetts,Jul,II,Cryptosporidium species,767,Pool,Membership sport club
Michigan,Dec,IV,AGI,32,Pool,Hotel/motel
Minnesota,Jun,IV,Norovirus,11,Lake,Public beach
Minnesota,Mar,II,Norovirus,36,Pool,Hotel/motel
Minnesota,Jul,II,Cryptosporidium species,52,Indoor pool,Health club
Minnesota,Aug,II,Cryptosporidium species,41,Pool,Hotel/motel
Minnesota,Aug,II,Cryptosporidium species,16,Pool,Resort
Oregon,Aug,II,AGI,9,Pool,Apartment complex
Texas,Aug,IV,Cryptosporidium hominis§,54,Wading pool,Hotel/motel
Wisconsin,Mar,IV,Norovirus,15,Pool,Hotel/motel
Wisconsin,Jul,III,Norovirus¶,44,Lake,State park
Wyoming,May,IV,Cryptosporidium species,3,Lake,Lake
Wyoming,Jul,IV,Giardia intestinalis,2,River,River
