,,,,Predominant,No. of cases,,
State,Month Class*,,Etiologic agent,illness†,"(n = 1,141)",Type,Setting
Arkansas,Aug,IV,Cryptosporidium,AGI†,4,Pool,Large facility
Connecticut,Jul,I,Echovirus 9,Neuro†,36,Pool,RV§ campground
Connecticut,Aug,I,MRSA¶,Skin†,10,Spa,Athletic center
Georgia,Apr,IV,Unidentified,Skin,5,Spa,Hotel
Illinois,Jan,I,Pseudomonas aeruginosa,Skin,52,Spa,Hotel
Illinois,Dec,I,Unidentified**,AGI,12,Pool,Hotel
Iowa,Jun,IV,Cryptosporidium and Giardia,,,,
,,,intestinalis††,AGI,63,Wading pool,Day care center
Kansas,Jul,I,C. hominis§§,AGI,617,"Pools, Wading pools",Community
Massachusetts,Jun,II,G. intestinalis,AGI,149,Pool,Membership club
Michigan,Feb,II,Unidentified¶¶,Skin,25,Spa,Hotel
New Mexico,Jun,III,Legionella pneumophila serogroup 1,ARI†,4,Spa,Hotel
New York,Mar,III,Muriatic (hydrochloric) acid,ARI,3,Pool,Membership club
New York,Nov,IV,Unidentified¶¶,Skin,7,Pool,Membership club
Ohio,Jan,I,P. aeruginosa,Skin,17,"Pool, spa",Hotel
Oregon,Jul,I,Shigella sonnei,AGI,56,Interactive fountain,Community
South Carolina,Nov,II,Unidentified,Skin,64,"Spa, pool",Hotel
Wisconsin,Feb,I,L. pneumophila serogroup 1,ARI,3,Spa,Hotel
Wisconsin,Jul,II,Cryptosporidium,AGI,14,Wading pool,Community
