,,,,Predominant,No. of cases,,
State/Territory,Month Class*,,Etiologic agent,illness†,(n = 119),Type,Setting
Arkansas,Jun,IV,Shigella flexneri,AGI†,10,Lake,Swimming beach
Georgia,Aug,IV,Unidentified,Ear†,9,Lake,Lake
Guam,Apr,IV,Leptospira species,Leptospirosis,3,River,Waterfalls
Minnesota,Jun,IV,Norovirus,AGI,9,Lake,Swimming beach
Missouri,Mar,IV,Giardia intestinalis,AGI,9,Lake,Lake
Nebraska,Jul,III,Microcystin toxin (blue-green algae),"AGI, Skin†",20,Lake,Lake
Nebraska,Jul,III,Microcystin toxin (blue-green algae),"AGI, Skin",2,Lake,Lake
Oregon,Jul,IV,Norovirus,AGI,39,Lake,Swimming beach
Wisconsin,Jul,IV,Unidentified§,AGI,18,Lake,State park
