,,,,No. of cases,,
State,Month,Class*,Etiologic agent,(n = 782),Source,Setting
,,,,,,
Colorado,Jul,III,Shigella sonnei,33,Interactive fountain,Community
Iowa,Jun,I,S. sonnei,45,Wading pool,Public park
Illinois,Jul,I,Cryptosporidium hominis†,358,Pool,Waterpark
Minnesota,Jul,III,Escherichia coli O157:H7§,20,Lake,Public beach
Minnesota,Jul,IV,Norovirus,40,Lake,Public beach
Minnesota,Aug,IV,E. coli O26:NM,4,Lake,Community park
Nebraska,Jul,IV,Cryptosporidium species,157,Pools,Community
Nebraska,Jul,IV,Cryptosporidium species,21,Pool,Community
New Hampshire,Aug,III,AGI¶**,42,Lake,State park
Oregon,May,IV,AGI,15,Pool,Lodge
South Carolina,Jul,I,E. coli O157:H7,45,Lake,State park
Wyoming,Aug,III,Cryptosporidium species,2,Flow-through pool/hot spring††,State park
