,,,,Predominant No. of cases,,,
State,Month,Class*,Etiologic agent,illness†,"(n = 1,305)",Type,Setting
California,Aug,I,Cryptosporidium,AGI†,336,Pool,Water park
Colorado,Aug,III,Cryptosporidium,AGI,6,Pool,Hotel
Florida,May,III,Norovirus,AGI,42,Waterslide,School
Georgia,Jan,IV,Unidentified§,Skin†,17,Pool,Hotel
Georgia,Jun,IV,Cryptosporidium,AGI,14,Pool,Community
Idaho,Mar,II,Norovirus,AGI,140,Pool,Community
Illinois,Jan,I,Unidentified¶,"Eye†, ARI†",45,Pool,Hotel
Illinois,Jan,I,Unidentified¶,"Eye, ARI",22,"Pool, spa",Hotel
Illinois,Feb,III,Pseudomonas aeruginosa,"Skin, ARI",16,"Pool, spa",Hotel
Illinois,Feb,I,P. aeruginosa,Skin,5,Spa,Hotel
Illinois,Mar,I,Unidentified¶,"Eye, ARI",57,"Pool, spa",Hotel
Illinois,Jul,IV,Unidentified**,AGI,9,Pool,Community
Illinois,Jul,I,Cryptosporidium,AGI,37,"Pool, wading pool,",Community
,,,,,,interactive fountain,
Illinois,Sep,I,Cryptosporidium,AGI,8,Pool,Hotel
New Mexico,Aug,IV,Unidentified¶,ARI,16,Pool,Membership club
New York,Dec,IV,Unidentified¶,ARI,5,Pool,Military facility
North Carolina,Mar,II,P. aeruginosa,Skin,41,Spa,Hotel
Ohio,Jul,I,C. hominis††,AGI,160,"Pool, wading pool",Community
Ohio,Jul,I,P. aeruginosa,"Ear†, skin",119,"Pool, spa",Resort
Ohio,Aug,I,Legionella pneumophila,ARI,3,Spa,Household
,,,serogroup 1,,,,
Oklahoma,Mar,I,L. pneumophila serogroup 1,ARI,107,Spa,Hotel
Oregon,Mar,III,P. aeruginosa,Skin,2,Spa,Motel
Vermont,Feb,I,Norovirus,AGI,70,Pool,Membership club
Wisconsin,Jun,I,P. aeruginosa,"Skin, AGI",22,"Pool, spa",Hotel
Wisconsin,Aug,IV,Cryptosporidium,AGI,6,Pool,Community
