Exposure State/Jurisdiction,Month,Year,Class,Etiology,Predominant Illness,No. cases,No. hospitalizations,No. deaths,Water System,Deficiency,Water Source,Setting
Alaska,August,2014,IV,Giardia duodenalis††,AGI,5,0,0,Community,99a,River/Stream,Community/Municipality
Arizona,January,2014,I,Norovirus (S),AGI,4,0,0,Transient Noncommunity,"3, 4",Unknown,Camp/Cabin Setting
Florida,September,2013,III,Legionella pneumophilaserogroup 1,ARI,4,4,0,Community,"5a, 7",Well,Hospital/Health Care
Florida,November,2013,III,Legionella pneumophilaserogroup 1,ARI,4,4,0,Community,5a,Other,Other§§
Florida,April,2014,IV,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Well,Hotel/Motel/Lodge/Inn
Florida,June,2014,III,Legionella pneumophilaserogroup 1,ARI,3,2,0,Community,5a,Unknown,Long Term Care Facility
Florida,August,2014,IV,Legionella pneumophilaserogroup 1,ARI,6,4,0,Community,5a,Unknown,Hotel/Motel/Lodge/Inn
Idaho,September,2014,III,Giardia duodenalis,AGI,2,0,0,Unknown,99a,Unknown,Hotel/Motel/Lodge/Inn
Indiana,July,2013,III,Cryptosporidium sp.,AGI,7,0,0,Community,4,Unknown,Mobile Home Park
Indiana,November,2014,IV,Unknown,AGI,3,0,0,Community,99a,Unknown,Apartment/Condo
Kansas,June,2014,IV,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Unknown,Hospital/Health Care
Maryland,November,2012,III,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Well,Hotel/Motel/Lodge/Inn
Maryland,February,2013,III,Nitrite,AGI; Neuro,14,,0,Community,6,Lake/Reservoir/Impoundment,Indoor workplace/Office
Maryland,April,2014,III,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Lake/Reservoir/Impoundment,Apartment/Condo
Maryland,July,2014,III,Legionella pneumophilaserogroup 1,ARI,2,1,0,Community,5a,Well,Hotel/Motel/Lodge/Inn
Maryland,August,2014,III,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,River/Stream,Prison/Jail (Juvenile/Adult)
Michigan,June,2014,III,Legionella pneumophilaserogroup 1,ARI,45,45,7,Community,5a,River/Stream,"Hospital/Healthcare, Community/Municipality†††"
Montana,July,2014,III,Norovirus GII.Pe-GII.4 Sydney,AGI,62,0,0,Transient Noncommunity,2,Well,Hotel/Motel/Lodge/Inn
New York,July,2013,IV,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Lake/Reservoir/Impoundment,Hospital/Health Care
New York,June,2014,III,Legionella pneumophilaserogroup 1,ARI,2,2,0,Community,5a,Well,Hospital/Health Care
North Carolina,December,2013,III,Legionella pneumophilaserogroup 1,ARI,3,2,0,Community,5a,Unknown,Long Term Care Facility
North Carolina,December,2013,IV,Legionella pneumophilaserogroup 1,ARI,7,3,0,Community,5a,Unknown,Long Term Care Facility
North Carolina,May,2014,III,Legionella pneumophilaserogroup 1,ARI,7,6,1,Community,5a,Other,Long Term Care Facility
North Carolina,June,2014,IV,Legionella pneumophilaserogroup 1,ARI,3,3,0,Community,5a,Unknown,Long Term Care Facility
North Carolina,July,2014,IV,Legionella pneumophila serogroup 1,ARI,3,2,1,Community,5a,Unreported,Long Term Care Facility
Ohio,April,2013,IV,Legionella pneumophila,ARI,2,2,1,Unknown,5a,Unknown,Long Term Care Facility
Ohio§§§,September,2013,III,Cyanobacterial toxin,AGI,6,0,0,Community,13a,Lake/Reservoir/Impoundment,Community/Municipality
Ohio,July,2014,IV,Legionella pneumophilaserogroup 1,ARI,14,4,0,Community,5a,River/Stream,Long Term Care Facility
Ohio,August,2014,III,Cyanobacterial toxin,AGI,110,,,Community,13a,Lake/Reservoir/Impoundment,Community/Municipality
Ohio,October,2014,IV,Cryptosporidium sp. (S) ,AGI,100,0,0,Individual,99a,River/Stream,Farm/Agricultural Setting
Ohio,December,2014,IV,Viral-Unknown (S),AGI,2,0,0,Commercially Bottled,99b,Unknown,Private Residence
Oregon,June,2013,I,Cryptosporidium parvum IIaA15G2R1,AGI,119,2,0,Community,3,Lake/Reservoir/Impoundment,Community/Municipality
Oregon,September,2014,III,Legionella pneumophilaserogroup 1,ARI,4,4,1,Community,5a,Well,Apartment/Condo
Pennsylvania,December,2013,III,Legionella pneumophilaserogroup 1,ARI,2,2,0,Unknown,5a,Unknown,Hospital/Health Care
Pennsylvania,February,2014,III,Legionella pneumophilaserogroup 1,ARI,5,5,0,Community,5a,River/Stream,Long Term Care Facility
Pennsylvania,October,2014,III,Legionella pneumophila,ARI,2,2,1,Community,5a,Unknown,Long Term Care Facility
Rhode Island,April,2013,III,Legionella pneumophilaserogroup 1,ARI,2,2,1,Community,5a,Lake/Reservoir/Impoundment,Hospital/Health Care
Tennessee,July,2013,II,Cryptosporidium parvum,AGI,34,0,0,Transient Noncommunity,"2, 3",Spring,Camp/Cabin Setting
Tennessee,June,2014,III,"Clostridium difficile (S); Escherichia coli, Enteropathogenic (S)",AGI,12,0,0,Nontransient Noncommunity,99a,Well,Camp/Cabin Setting; Community/Municipality
Virginia,June,2013,IV,Cryptosporidium sp.,AGI,19,0,0,Individual,99d,Well,Farm/Agricultural Setting
West Virginia§§§§,January,2014,IV,4-Methylcyclohexanemethanol (MCHM),AGI,369,13,0,Community,13a,River/Stream,Community/Municipality
Wisconsin,August,2014,I,Giardia duodenalis,AGI,3,0,0,Nontransient Noncommunity,2,Other,National Forest
Wisconsin,September,2014,III,Campylobacter jejuni,AGI,5,0,0,Individual,2,Well,Private Residence
